Geo Point;Löv- eller barrträd;Trädart vetenskapligt namn;Trädart svenskt namn;Gatu- eller parkträd;Planteringsdatum
63.83865908247023, 20.220727701547457;Lövträd;Sorbus Aucuparia;Rönn;Parkträd;
63.85720203214963, 20.30347058051951;Lövträd;Betula Pendula;Vårtbjörk;Parkträd;
63.840222898661445, 20.284096410392962;Lövträd;Sorbus Aucuparia;Rönn;Parkträd;
63.615640386365, 19.907104179085373;Lövträd;Betula Pendula;Vårtbjörk;Parkträd;2014-10-31
63.849213016265544, 20.30421149221806;Lövträd;Betula Pendula;Vårtbjörk;Parkträd;
63.82900813302228, 20.229889933832673;Lövträd;Betula Sp.;Björk;Parkträd;
63.82233518664874, 20.283939591517363;Lövträd;Betula Pendula;Vårtbjörk;Gatuträd;
63.82941057403463, 20.30791243414097;Lövträd;Acer Platanoides;Skogslönn;Parkträd;
63.82467174486679, 20.27537596761581;Lövträd;Betula Pendula;Vårtbjörk;Gatuträd;
63.80793899371453, 20.318438294850356;Barrträd;Pinus Sylvestris;Tall;Parkträd;
63.83367070868018, 20.19588509205705;Lövträd;Sorbus Aucuparia;Rönn;Parkträd;
63.82977577502943, 20.250981766931535;Lövträd;Betula Sp.;Björk;Gatuträd;
63.81295494380648, 20.254178611041823;Lövträd;Betula Sp.;Björk;Parkträd;
63.81744195166671, 20.263276482154463;Lövträd;Prunus Padus;Hägg;Parkträd;
63.838338858303345, 20.24968906564392;Lövträd;Sorbus Aucuparia;Rönn;Parkträd;2009-07-01
63.88496820796705, 20.31478659265315;Barrträd;Pinus Sylvestris;Tall;Parkträd;
63.80316489579249, 20.31389492820355;Lövträd;Populus Trichocarpa Kiruna E;Jättepoppel Kiruna E;Parkträd;2022-05-22
63.69629019538093, 20.35630896268249;Lövträd;Betula Pendula;Vårtbjörk;Parkträd;
63.84595599408151, 20.34246999986134;Lövträd;Betula Pendula;Vårtbjörk;Parkträd;2012-07-01
63.85610308239614, 20.31530183781642;Lövträd;Betula Pendula;Vårtbjörk;Parkträd;
63.809708487237785, 20.341964704563004;Lövträd;Betula Pendula;Vårtbjörk;Parkträd;
63.85574955370684, 20.339772811559612;Lövträd;Betula Sp.;Björk;Parkträd;
63.84147957040636, 20.27639775281827;Lövträd;Betula Pendula;Vårtbjörk;Parkträd;
63.833484910772526, 20.23261959794514;Lövträd;Betula Sp.;Björk;Parkträd;
63.82386538641125, 20.285802907635592;Lövträd;Betula Pendula Splendor White;Vårtbjörk Splendor White;Gatuträd;2015-08-31
63.80302851093064, 20.374627574800705;Lövträd;Alnus Incana Laciniata;Flikbladig Gråal;Parkträd;
63.70003019775113, 20.380285846304453;Lövträd;Sorbus Aucuparia;Rönn;Parkträd;
63.8447271553804, 20.313159487900037;Lövträd;Betula Ermanii;Kamtjatkabjörk;Parkträd;2022-05-22
63.71122967142741, 20.36866294901214;Lövträd;Betula Pendula;Vårtbjörk;Gatuträd;
63.84679018683651, 20.212761594163133;Lövträd;Betula Pendula;Vårtbjörk;Parkträd;
63.84906996285007, 20.30777477109708;Lövträd;Betula Pendula;Vårtbjörk;Parkträd;
63.81961799581104, 20.25548199795383;Lövträd;Betula Pendula;Vårtbjörk;Parkträd;
63.82143851158448, 20.298337901470216;Lövträd;Betula Pendula;Vårtbjörk;Parkträd;
63.85112246748771, 20.305529712774504;Lövträd;Betula Sp.;Björk;Parkträd;
63.62730953371082, 19.924914541240977;Barrträd;Pinus Sylvestris;Tall;Parkträd;
63.625212856292386, 19.916517510931175;Barrträd;Pinus Sylvestris;Tall;Parkträd;
63.82895038683713, 20.227675151017408;Lövträd;Betula Sp.;Björk;Parkträd;
63.83482799525394, 20.197051000547074;Lövträd;Betula Sp.;Björk;Parkträd;
63.83655332633289, 20.264655327727503;Lövträd;Salix Fragilis Bullata;Bollpil;Parkträd;
63.83203727469169, 20.239861601565803;Barrträd;Pinus Sylvestris;Tall;Parkträd;
63.81027245472206, 20.268827937011473;Lövträd;Betula Sp.;Björk;Parkträd;
63.810277310959926, 20.280776855697383;Lövträd;Betula Pendula;Vårtbjörk;Parkträd;
63.83782191791382, 20.21680054035238;Lövträd;Betula Sp.;Björk;Parkträd;
63.830987688027975, 20.2387129306381;Lövträd;Betula Pendula;Vårtbjörk;Parkträd;
63.826035637960246, 20.25028645660314;Lövträd;Ulmus Glabra;Skogsalm;Parkträd;
63.82962774610113, 20.308261080406563;Lövträd;Betula Pendula;Vårtbjörk;Parkträd;
63.83221412770305, 20.311095356366263;Lövträd;Betula Sp.;Björk;Parkträd;
63.83287965383821, 20.18964425387186;Lövträd;Betula Sp.;Björk;Parkträd;
63.813972899710365, 20.216489306334303;Barrträd;Picea Abies;Gran;Parkträd;
63.83866080887063, 20.215918378398055;Lövträd;Betula Sp.;Björk;Parkträd;
63.839659443302224, 20.22856362683196;Lövträd;Betula Sp.;Björk;Parkträd;
63.80158675058747, 20.301906660949406;Barrträd;Pinus Sylvestris;Tall;Parkträd;2009-09-01
63.800123780810615, 20.350552399717557;Lövträd;Betula Pendula;Vårtbjörk;Parkträd;
63.807726803100046, 20.195966157784703;Lövträd;Betula Sp.;Björk;Parkträd;
63.83325399425357, 20.331040999530913;Lövträd;Quercus Robur;Skogsek;Parkträd;2012-07-01
63.72400399434264, 20.389427998794638;Lövträd;Betula Pendula Splendor White;Vårtbjörk Splendor White;Parkträd;2010-07-01
63.69205957626457, 20.301784842098805;Lövträd;Betula Sp.;Björk;Parkträd;
63.83313465465916, 20.278065628980222;Lövträd;Betula Pendula;Vårtbjörk;Gatuträd;2011-07-01
63.8052015624324, 20.370270845822642;Lövträd;Betula Sp.;Björk;Parkträd;
63.79737427382737, 20.311395658297844;Lövträd;Tilia Cordata;Skogslind;Parkträd;2019-10-03
63.80204515556539, 20.31171170690325;Lövträd;Betula Pendula;Vårtbjörk;Parkträd;
63.831434841209706, 20.240798904661233;Barrträd;Pinus Sylvestris;Tall;Parkträd;
63.8176569974805, 20.28566719284432;Lövträd;Betula Pendula;Vårtbjörk;Parkträd;
63.83150162495682, 20.22783349857112;Lövträd;Betula Pendula;Vårtbjörk;Parkträd;2011-07-01
63.83024948329221, 20.25941569222394;Lövträd;Betula Pendula;Vårtbjörk;Parkträd;
63.80193880708917, 20.31383411656671;Lövträd;Betula Pendula;Vårtbjörk;Parkträd;
63.70956860467315, 20.36939266107913;Barrträd;Pinus Sylvestris;Tall;Parkträd;
63.824775283438704, 20.275900782302113;Lövträd;Populus Laurifolia;Lagerpoppel;Parkträd;
63.83783406583465, 20.248565723527133;Lövträd;Betula Pendula;Vårtbjörk;Parkträd;2009-07-01
63.815788361787824, 20.253595522375065;Lövträd;Sorbus Aucuparia;Rönn;Parkträd;
63.806447018580705, 20.29724437042275;Lövträd;Sorbus Aucuparia;Rönn;Parkträd;2009-09-01
63.840014996456105, 20.20088099823033;Lövträd;Betula Pendula;Vårtbjörk;Parkträd;2013-08-27
63.800841358521886, 20.351891939126222;Lövträd;Betula Pendula;Vårtbjörk;Parkträd;
63.8321368758709, 20.21057978712665;Lövträd;Betula Pendula;Vårtbjörk;Parkträd;
63.84508757149893, 20.21960392189462;Lövträd;Betula Sp.;Björk;Parkträd;
63.806528887848096, 20.19270008641021;Lövträd;Betula Sp.;Björk;Parkträd;
63.80939946343072, 20.37963850640851;Lövträd;Betula Pendula;Vårtbjörk;Parkträd;2013-06-30
63.82631279195951, 20.2829672537659;Lövträd;Betula Pendula;Vårtbjörk;Parkträd;
63.83917186607678, 20.199346482629014;Lövträd;Betula Pendula;Vårtbjörk;Parkträd;
63.85360542525838, 20.314942184672926;Lövträd;Betula Pendula;Vårtbjörk;Parkträd;
63.832233964189655, 20.31107696153054;Lövträd;Betula Sp.;Björk;Parkträd;
63.82518854590131, 20.27861794887461;Lövträd;Betula Pendula Splendor White;Vårtbjörk Splendor White;Gatuträd;2015-08-31
63.83429516567483, 20.270447342032224;Barrträd;Pinus Sylvestris;Tall;Parkträd;
63.625011036654065, 19.90871415934048;Barrträd;Pinus Sylvestris;Tall;Parkträd;
63.625335995963226, 19.909853998230343;Barrträd;Pinus Sylvestris;Tall;Parkträd;
63.82557488215754, 20.28061059749888;Lövträd;Betula Pendula Finland;Vårtbjörk Finland;Gatuträd;2014-11-06
63.83919140756045, 20.21982232421735;Lövträd;Betula Sp.;Björk;Parkträd;
63.83177728916625, 20.237953819857164;Barrträd;Pinus Sylvestris;Tall;Parkträd;
63.81882296623416, 20.251075017300003;Lövträd;Betula Sp.;Björk;Parkträd;
63.81914668651851, 20.265350298741037;Lövträd;Acer Platanoides;Skogslönn;Parkträd;
63.80915318121549, 20.187790333255208;Barrträd;Pinus Sylvestris;Tall;Parkträd;
63.87819131486199, 20.30686000641698;Lövträd;Betula Sp.;Björk;Parkträd;
63.8173319951736, 20.293496999131097;Lövträd;Betula Sp.;Björk;Parkträd;2013-07-01
63.83463900506621, 20.197074664866346;Lövträd;Sorbus Dodong;Ullungrönn;Parkträd;
63.84610699433931, 20.342505999086644;Lövträd;Betula Pendula;Vårtbjörk;Parkträd;2012-07-01
63.802739829478014, 20.371512046567204;Lövträd;Betula Sp.;Björk;Parkträd;
63.82418389004063, 20.268441509460885;Lövträd;Populus Tremula Erecta;Pelarasp;Parkträd;
63.86338652080845, 20.3048749531143;Lövträd;Betula Sp.;Björk;Parkträd;
63.84456013104661, 20.279291330818825;Barrträd;Pinus Sylvestris;Tall;Parkträd;
63.834341038217886, 20.229713841725125;Lövträd;Sorbus Intermedia;Oxel;Parkträd;2011-07-01
63.70139301854362, 20.369984427264644;Lövträd;Sorbus Aucuparia;Rönn;Parkträd;
63.858484447104836, 20.327470808687885;Lövträd;Betula Sp.;Björk;Parkträd;
63.84356384374654, 20.27881098924962;Lövträd;Betula Pendula;Vårtbjörk;Parkträd;
63.844496993681005, 20.340672997722237;Lövträd;Betula Pendula;Vårtbjörk;Parkträd;2012-07-01
63.842188338581444, 20.1606829477707;Barrträd;Pinus Sylvestris;Tall;Parkträd;
63.80800020017316, 20.3411562784758;Lövträd;Betula Pendula;Vårtbjörk;Parkträd;
63.81429153530732, 20.320005019601993;Lövträd;Betula Pendula;Vårtbjörk;Parkträd;
63.83245045370768, 20.275459722071247;Lövträd;Betula Pendula;Vårtbjörk;Parkträd;
63.62733225679328, 19.924448099339525;Barrträd;Pinus Sylvestris;Tall;Parkträd;
63.839378743819445, 20.48047486769854;Lövträd;Sorbus Aucuparia;Rönn;Parkträd;
63.815670547673996, 20.246171349339082;Lövträd;Betula Pendula;Vårtbjörk;Parkträd;
63.80577650431492, 20.1887149167075;Lövträd;Prunus Maackii;Näverhägg;Parkträd;
63.823346667115196, 20.27798653395841;Lövträd;Betula Pendula;Vårtbjörk;Gatuträd;
63.83155595338401, 20.24206205502395;Barrträd;Pinus Sylvestris;Tall;Parkträd;
63.83733793986701, 20.233460809446953;Lövträd;Betula Pendula;Vårtbjörk;Parkträd;
63.838689804356086, 20.220910708361526;Lövträd;Sorbus Aucuparia;Rönn;Parkträd;
63.81534738228024, 20.295062601558474;Barrträd;Pinus Sylvestris;Tall;Parkträd;
63.82148233261955, 20.299558171996154;Lövträd;Populus Tremula;Asp;Parkträd;
63.839569825677984, 20.274693236090503;Lövträd;Betula Pendula;Vårtbjörk;Parkträd;
63.83132003833451, 20.241499404245396;Barrträd;Pinus Sylvestris;Tall;Parkträd;
63.83600327642279, 20.313975446259896;Barrträd;Pinus Sylvestris;Tall;Parkträd;
63.83321191732691, 20.18471783683371;Lövträd;Betula Sp.;Björk;Parkträd;
63.840758235770096, 20.21385833166294;Lövträd;Betula Sp.;Björk;Parkträd;
63.82557046438312, 20.268612805981675;Lövträd;Betula Sp.;Björk;Gatuträd;
63.8183203318886, 20.26143960891188;Barrträd;Pinus Sylvestris;Tall;Parkträd;
63.80471119452834, 20.310085888104098;Lövträd;Betula Sp.;Björk;Parkträd;
63.83651456174625, 20.156170867375337;Barrträd;Pinus Sylvestris;Tall;Parkträd;
63.82480667534852, 20.262730006943784;Lövträd;Sorbus Dodong;Prydnadsrönn Dodong;Parkträd;2016-06-30
63.88082268664117, 20.30853378794574;Lövträd;Betula Pendula;Vårtbjörk;Parkträd;
63.849500993786044, 20.314897996475555;Lövträd;Betula Pendula;Vårtbjörk;Parkträd;2013-08-26
63.840265934271905, 20.242491581285883;Lövträd;Betula Pendula;Vårtbjörk;Parkträd;2009-07-01
63.70771091393782, 20.370697068441665;Lövträd;Acer Platanoides;Skogslönn;Parkträd;
63.8367471436635, 20.271695281167826;Lövträd;Betula Pendula;Vårtbjörk;Parkträd;
63.83286286995342, 20.23129372079627;Lövträd;Betula Sp.;Björk;Parkträd;
63.83341259916418, 20.320500129889805;Barrträd;Pinus Sylvestris;Tall;Parkträd;
63.829505363145735, 20.276386709220564;Lövträd;Betula Pendula;Vårtbjörk;Gatuträd;
63.82649799329825, 20.263733999479438;Lövträd;Betula Pendula;Vårtbjörk;Gatuträd;2014-07-01
63.83870829194908, 20.2175509287554;Lövträd;Betula Sp.;Björk;Parkträd;
63.832510264324064, 20.240660130490443;Barrträd;Pinus Sylvestris;Tall;Parkträd;
63.84465099589483, 20.340436996461655;Lövträd;Populus Tremula;Asp;Parkträd;2012-07-01
63.83263852682332, 20.1866160393258;Lövträd;Betula Pendula;Vårtbjörk;Parkträd;
63.82957991303286, 20.229659123668146;Lövträd;Tilia Cordata;Skogslind;Parkträd;
63.84752575321834, 20.312458026865365;Lövträd;Betula Sp.;Björk;Parkträd;
63.845193295782316, 20.280676169077793;Lövträd;Betula Pendula;Vårtbjörk;Parkträd;
63.80935661917965, 20.187867749633465;Barrträd;Pinus Sylvestris;Tall;Parkträd;
63.8296467989563, 20.234299796055442;Lövträd;Betula Sp.;Björk;Gatuträd;
63.893380220929316, 20.32343752096778;Lövträd;Betula Sp.;Björk;Parkträd;2007-07-01
63.82398268542749, 20.285688258033876;Lövträd;Betula Pendula Splendor White;Vårtbjörk Splendor White;Gatuträd;2015-08-31
63.83224531933968, 20.30538409977231;Lövträd;Betula Pendula;Vårtbjörk;Parkträd;
63.81835573756231, 20.222379202032837;Lövträd;Betula Sp.;Björk;Parkträd;
63.85056829622629, 20.297028928333344;Lövträd;Betula Pendula;Vårtbjörk;Parkträd;
63.83861618407287, 20.220674945829852;Lövträd;Sorbus Aucuparia;Rönn;Parkträd;
63.80646283470188, 20.32221776673554;Barrträd;Pinus Nigra;Svarttall;Parkträd;2022-05-22
63.83162472220367, 20.23164393926882;Lövträd;Betula Pendula;Vårtbjörk;Parkträd;
63.83672296005557, 20.270789347113706;Lövträd;Crataegus Sp;Hagtorn;Parkträd;
63.612004759482915, 19.90661462679447;Lövträd;Sorbus Aucuparia;Rönn;Parkträd;
63.79863684849606, 20.31344318173142;Barrträd;Pinus Sylvestris;Tall;Parkträd;
63.818642525037326, 20.191467973981897;Lövträd;Betula Pendula;Vårtbjörk;Gatuträd;
63.837355203429865, 20.226582374419337;Lövträd;Betula Sp.;Björk;Parkträd;
63.828423673974584, 20.25378395888439;Lövträd;Betula Pendula;Vårtbjörk;Gatuträd;2011-07-01
63.821418431192285, 20.220785465969207;Lövträd;Betula Pendula;Vårtbjörk;Parkträd;
63.80470912851193, 20.37598755890999;Lövträd;Populus Tremula;Asp;Parkträd;
63.84576099482847, 20.342326997581452;Lövträd;Betula Pendula;Vårtbjörk;Parkträd;2012-07-01
63.807964137585614, 20.30859961375531;Lövträd;Betula Sp.;Björk;Parkträd;
63.83566266076511, 20.274949259983998;Lövträd;Betula Pendula;Vårtbjörk;Parkträd;
63.828905014516515, 20.24524025850255;Lövträd;Prunus Avium Plena;Fylldblommigt Fågelbär;Parkträd;2011-07-01
63.85705784909383, 20.329113813158344;Lövträd;Betula Sp.;Björk;Parkträd;
63.83061520500465, 20.25930169780075;Lövträd;Betula Pendula;Vårtbjörk;Parkträd;
63.70531341967299, 20.314857327640727;Lövträd;Betula Sp.;Björk;Parkträd;
63.797038235169985, 20.317773683223123;Lövträd;Betula Sp.;Björk;Parkträd;
63.84203089529833, 20.280211888664027;Barrträd;Pinus Sylvestris;Tall;Parkträd;
63.886033243581934, 20.314942678530464;Lövträd;Betula Sp.;Björk;Parkträd;
63.83266793160211, 20.19487833101598;Lövträd;Malus John Downie;Prydnadsapel John Downie;Parkträd;
63.83587739534032, 20.22680684535609;Barrträd;Pinus Sylvestris;Tall;Parkträd;
63.84218128295451, 20.276984647684117;Barrträd;Pinus Sylvestris;Tall;Parkträd;
63.626799717266856, 19.920428182774415;Lövträd;Betula Pendula;Vårtbjörk;Parkträd;
63.836438964134054, 20.16523859606859;Barrträd;Pinus Sylvestris;Tall;Parkträd;
63.80408139851372, 20.3174515805096;Barrträd;Pinus Sylvestris;Tall;Parkträd;
63.84558044842682, 20.23005867471225;Lövträd;Betula Pendula;Vårtbjörk;Parkträd;
63.80837275441146, 20.197743795039905;Lövträd;Betula Pendula;Vårtbjörk;Parkträd;
63.81808749795557, 20.250762274090036;Lövträd;Betula Sp.;Björk;Parkträd;
